Indonesia,Simalungun,Pronounciation,Part of Speech,Sentence Examples & Related Forms
mudah tersinggung,sigi,sigi,Adjective,
mudah-mudahan,ra,ra,Adverb,ra ma malum iahap halak ai dob martambar hun ruma sakit mudah-mudahan orang itu sudah sehat kembali setelah berobat di rumah sakit
mufakat,ariharih,,,
mujur; beruntung,mokor,mOkOr,Adjective,mokor ma ia tertolong beruntunglah dia tertolong
muka,alub,alub,Noun,mardaraoh alub si Ani muka si Ani berdarah
muka,bohi,bOhi,Noun,bohi ni seng bolak mukanya tidak lebar; 
mukanya lembam,sangir,,,
mukanya lembam dan darah keluar dari hidung,sangir,saGir,Verb,ma sangir bohini ilanggar motor mukanya lembam di- langgar motor
mulai,mungkah,muk:ah,Verb,anggi au mungkah boima mardalan adikku mulai berjalan
mulai,pungkah,,,
mulai,toha,toha,Verb,
mulai busuk,muap,muwap,Adverb,ihan na muap lang enak ikan yang mulai busuk rasanya tidak enak
mulai lembek,madoluh ,,,
mulia,bahuta,bahuta,Adjective,
mulia,hidorat,hidOrat,Adjective,gabe hidorat ho halani sonin kamu jadi mulia karena itu
mulia,marsangap ,,,
mulia,mulia,,,
mulia,tunggung,tuggung,Adjective,terhormat
mulia; ,mulia,muliya,Adjective,"ia iparmuliahon	halak	dia dimuliakan orang"
muliakan,pasangap,,,
mulut,baba,baba,Noun,babah ni baliang mulut anjing; ;  sesuap;
mulut,bahah,bahah,Noun,
mulut,ngem,,,
mulut kotor,ursam,,,
mulut kotor (karena berbicara tidak pantas),ursam,ursam,Adjective,ursam dasa pamanganmui ucapanmu kotor sekalli
muncul,timbuk,tibbuk,Verb,: martimbuk sibahut ai ikan lele itu bermunculan
mundur,hasundaran,,,
mundur,mundar,mundar,Verb,ia mundar hupudi dia mundur kebelakang
mundur,sundar,suddar,Verb,menye- ah: ulang sundar anggo lape kalah! jangan mundur kalau belum kalah!
mundur,undar,uddar,Verb,undar otik ase lang tartabrak mundur sedikit agar tidak tertabrak; - kan
mungkin,atak,ata?,Adverb,atak inang misir hu tiga mamboli dadih mungkin ibu pergi ke pasar membeli susu
mungkin,atik,ati?,Toba,
muntah,moyak,,,
muntah,mutah,mutah,Verb,anggi mutah i parsikolahan adik muntah di sekolah; ;  orang yang bermuntahan;  supaya muntah;
muntah,ursak,,,
muntah,utah,utah,Verb,ulang utah i parmodoman! jangan  muntah di tempat tidur!
muntah,utah ,,,
muntah (tentang anak bayi),ursak,ursak,Verb,ursak anakni halani bosurtu minum anaknya mun- tah karena terlalu banyak minum
muntah bayi,intar,,,
murah,minar,minar,Adjective,nahnar ai minar tumang rara itu murah sekali
murah,murah,murah,Adjective,;  murah
murah,urah,urah,Adjective,urah hargani sipatu ai harga sepatu itu murah
muram,bundong,,,
musang,Ry,,,
musang,galot,galOt,Raya,nabodari galot manangkap dayok semalam musang menangkap ayam
musang,sidungari,siduGari,Noun,sidungari marlintun i topi lombang musang berlari di tepi tebing
musang,tampulak,tappulak,Noun,dayokni itangkap tampulak i bagas harang bagasni ayamnya ditangkap musang di dalam sarangnya
musibah,bala,bala,Noun,nagori ai hona bala kampung itu kena bencana
musim,adar,adar,Adverb,
musim,hagar,,,
musim,musim,musim,Noun,sonari musim marsuan omei sekarang waktu menanam padi
musim hagoan → hagou hagonap → haganup,hagar,hagar,Noun,
musim peralihan hujan ke,nolang,,,
musnah,popor,pOpOr,Verb,habis: popor ganup dayok nami ayam kami semua habis
musti,ningon,niGOn,Adverb,ningon misir do ho sonari kamu harus pergi sekarang
musuh,goraha,gOraha,Noun,laho roh ma goraha na masambor hu huta on mau datang musuh yang buruk ke kampung ini
musuh,musuh,musuh,Noun,
nabi,nabi,nabi,Noun,nabi Daud nabi Daud;
nafsu,kahul,kahul,Noun,dorongan hati; hajat; hasrat
naga,naga,naga,Noun,dong do naga tapi lang onggana idah naga  itu ada tapi tidak  pernah tampak
naik,ajak,aja?,Verb,
naik,bubung,,,
naik,naik,nai?,Verb,naik hu atas jabu naik ke atas rumah;  naik; ;
nakal,jahil,jahil,Adjective,dakdanak na jahil anak-anak yang nakal
nakal,jongak,,,
nakal; jahat,jongak,jOGak,Adjective,jungak la tarbata nakal tak dapat dinasehati
nama,bajalinggei,,,
nama,bataraguru,,,
nama,buar,,,
nama,burtaburta,,,
nama,dilah,,,
nama,goran,gOran,Raya,ise goranmu siapa namamu; ; 
nama,goringgoring,,,
nama,hudon,,,
nama,naga,,,
nama,nanggalutu,,,
nama,palionggang,,,
nama,pora,,,
nama,rajamantan,,,
nama,rampasbire,,,
nama,rangin,,,
nama,riang,,,
nama,roba,,,
nama,sima,,,
nama,simartolu,,,
nama,simarumbalang,,,
nama,singgohgoh,,,
nama,singguboh,,,
nama,sorigudam,,,
nama,tabar,,,
nama,tanggopul,,,
nama,tawei,,,
nama,tingtingbah,,,
nama bagian dari,suha,,,
"nama bagian dari marga Simalungun, yaitu Purba Dasuha (laki-laki) dan Boru Suha (perempuan)",suha,suha,Noun,
nama batu,rampah,,,
nama batu atau kayu yang dibuat ber- bentuk empat persegi,rampah,rampah,Noun,
nama bunga,ruhu,ruhu,Noun,ruhu ai jeges pangidahan ni bunga ruhu itu cantik kelihatannya
nama daerah,bajalinggei,bajaliggE,Noun,au roh hun Bajalinggei aku datang dari Bajalinggei
nama daerah di Simalungun,Sidamanik,sidamanik,Noun,
nama desa,nagaraja,,,
nama desa yang dibentuk dari kata nagori dan raja yang berarti benua raja atau kampung raja,nagaraja,nagaraja,Noun,
nama dewa,bataraguru,bataraguru,Noun,
nama hari,rabu,rabu,Noun,ia laho hu Medan iari rabu dia pergi  ke Medan hari rabu
nama hari kedua,suma,,,
nama jenis bambu,soma,,,
nama jenis bambu yang besar dan tinggi,soma,soma,Noun,buluh soma bambu soma
nama jenis kayu,jati,,,
nama kampung,bandar,badnar,Noun,bandar goran ni sada huta i Pamatang Siantar Bandar  nama sebuah kampung di pematang Siantar
nama kampung,hinalang,hinalaG,Noun,"huta hinalang jumpah i Bangun Purba, Kabupaten	Simalungun kampung Hinalang terletak di Bangun Purba, Kabupaten Simalungun"
nama kampung di Dolok Silau,barubei,barubEy,Noun,
nama kampung yang terdapat di Kecamatan Raya,longkung,lOGkuG,Noun,
nama kayu,hasupat,hasupat,Noun,hayu hasupat marduri songon untei makmur kayu hasupat berduri seperti jeruk purut
nama kehormatan,sang,saG,Noun,sang raja harodes sang raja harodes
nama kerbau dalam cerita Raja  Negeri Raya,nanggalutu,naGgalutu,Noun,
nama marga,tondang,,,
nama marga (bagian dari marga Purba),tondang,tOndaG,Noun,
nama orang,jonaha,,,
nama orang pintar (pandai seperti Abu Nawas) dalam cerita Simalungun,jonaha,jOnaha,Noun,turi-turian ni si Jonaha cerita tentang Jonaha
nama penyakit,alumalum,alumalum,Noun,alum-alum boni tonton sakit alumalum di dada;
nama per,sundalap,,,
nama per- kakas rumah,sundalap,suddalap,Noun,
nama salah satu,girsang,,,
nama salah satu kampung di Raya,Limag,limag,Noun,
nama salah satu marga di simalungun,girsang,girsaG,Noun,
nama satu,burihan,,,
nama satu kampung di Raya,burihan,burihan,Noun,
nama se,sindulpak,,,
"nama se- jenis pohon, getahnya pahit dan baik untuk obat gigi yang sakit",sindulpak,siddulpak,Noun,
nama sebuah,gajing,,,
nama sebuah,nagur,,,
nama sebuah,soirgaga,,,
nama sebuah kampung di Simalungun,gajing,gajiG,Noun,
nama sebuah kerajaan dahulu kala,nagur,nagur,Noun,
nama sebuah sungai yang terdapat di sebuah desa di Simalungun,soirgaga,soirgaga,Noun,
nama sejenis,adoyup,,,
nama sejenis,alim,,,
nama sejenis,alingit,,,
nama sejenis,banitan,,,
nama sejenis,boliala,,,
nama sejenis,gira,,,
nama sejenis,hatarum,,,
nama sejenis,hirlang,,,
nama sejenis,indot,,,
nama sejenis,jia,,,
nama sejenis,kiung,,,
nama sejenis,lasuan,,,
nama sejenis,linggarei,,,
nama sejenis,lopei,,,
nama sejenis,pamal,,,
nama sejenis,papaga,,,
nama sejenis,pidoras,,,
nama sejenis,rab,,,
nama sejenis,ranggas,,,
nama sejenis,sibarou,,,
nama sejenis,sihampir,,,
nama sejenis,sihiap,,,
nama sejenis,sihilang,,,
nama sejenis,sihorhor,,,
nama sejenis,silanton,,,
nama sejenis,silastom,,,
nama sejenis,singkam,,,
nama sejenis,sio,,,
nama sejenis,sohit,,,
nama sejenis,songkak,,,
nama sejenis,sorlup,,,
nama sejenis,sosopan,,,
nama sejenis,suawa,,,
nama sejenis,sugui,,,
nama sejenis,suyuk,,,
nama sejenis,tambos,,,
nama sejenis,tanggian,,,
nama sejenis,tarasih,,,
nama sejenis,tatada,,,
nama sejenis,tiptip,,,
nama sejenis,tobayas,,,
nama sejenis,tuldik,,,
nama sejenis,undalap,,,
nama sejenis,undalit,,,
nama sejenis binatang,hulihap,hulihap,Noun,
nama sejenis binatang,sugui,suguy,Noun,
nama sejenis binatang penyengat,gocam,gOcam,Noun,
nama sejenis bunga,sitalasari,sitalasari,Noun,
nama sejenis burung,gimbal,,,
nama sejenis burung,goli,gOli,Noun,
nama sejenis burung,linggarei,liGgarey,Noun,
nama sejenis burung,pisi,,,
nama sejenis burung,tingtingbah,tittiGbah,Noun,
nama sejenis burung,tiptip,tiptip,Noun,
nama sejenis burung,tittit,,,
nama sejenis burung,tuldik,tuldik,Noun,
nama sejenis burung berparuh panjang dan pengisap bunga,tarasih,tarasih,Noun,
nama sejenis burung kecil,tittit,tittit,Noun,
nama sejenis burung yang dapat terbang dengan sangat kencang,pidoras,pidOras,Noun,
nama sejenis burung yang terbang bergerom- bol yang datangnya bermusim (saat tertentu),pamal,pamal,Noun,
nama sejenis burung; tiung (semacam burung),kiung,kiyuG,Noun,ulang ho  songon kiung manggorani bani! jangan kamu seperti burung tiung menyebut nama sendiri! (arti kiasan)
nama sejenis dedaunan,silamlambau,silamlambaw,Noun,silamlambau ai ma samasam bulung-bulung na sambor tumang bauni daun silam- lambau adalah sejenis daun- daunan yang baunya tidak mengenakkan
nama sejenis ikan gabus,itok,itOk,Noun,
"nama sejenis ikan sungai, badannya besar, mulutnya lebar, dan ada garis pinggangnya, serta mau me- nangkap dan memakan ikan kecil",sibarou,sibarow,Noun,
nama sejenis ikan tawar yang hidup di danau atau di rawa,undalap,uddalap,Noun,
nama sejenis kain,goda,gOda,Noun,
nama sejenis kain,lasuan,lasuwan,Noun,
nama sejenis kain yang selalu diletakkan di kepala,jungjung,juGjuG,Noun,dongdo jungjung ni inang? adakah kain junjung ibu?
nama sejenis kayu,bajor,bajOr,Noun,
nama sejenis kayu,dosih,dOsih,Noun,
nama sejenis kayu,hurungantondei,,,
nama sejenis kayu,loba,lOba,Noun,
nama sejenis kayu,losa,lOsa,Noun,
nama sejenis kayu,rahu,,,
nama sejenis kayu,silastom,silastOm,Noun,
nama sejenis kayu,tatada,tatada,Noun,
nama sejenis kayu,undalit,uddalit,Noun,
nama sejenis kayu besar dan dibuat jadi kayu bangunan,simartolu,simartolu,Noun,
nama sejenis kayu keras,hatarum,hatarum,Noun,hayu hatarum jenges tumang bani suhul pisou kayu hatarum bagus  betul untuk gagang pisau
nama sejenis kayu lembek dan buahnya yang matang berasa manis sehingga disukai anak-anak,sosopan,sosopan,Noun,
nama sejenis kayu yang batangnya lembek dan tidak bagus untuk bahan bangunan,songkak,sOkkak,Noun,
nama sejenis kayu yang bergetah,rahu,rahu,Noun,
nama sejenis labu,gundur,gundur,Noun,
nama sejenis lumut yang berbentuk tali,singgohgoh,siggOhgOh,Noun,
"nama sejenis lumut, hidup di batu padas",sorigudam,sorigudam,Noun,
nama sejenis padi,boliala,bOliala,Noun,boliala hurang sodapni daini beras jenis boliala  rasanya kurang enak dimakan
nama sejenis pakis kayu yang dapat dibuat tiang gubuk,tanggian,taggian,Noun,
nama sejenis perangkap ikan,suyuk,suyuk,Noun,tangguk
nama sejenis permainan judi,joir,jOir,Noun,
nama sejenis pohon,alingit,aliGit,Noun,tanom lobei alingit ai ase tubuh tanam dulu pohon alingit itu supaya tumbuh
nama sejenis pohon,goringgoring,gOriG gOriG,Noun,
"nama sejenis pohon berduri, dahan dan rantingnya jarang, dan buahnya kecil-kecil di- makan burung",simarpaman,simarpaman,Noun,
nama sejenis pohon kayu besar,rajamantan,rajamantan,Noun,
nama sejenis pohon kayu keras yang getah kulitnya merah dan dibuat menjadi kuah masakan ayam,singkam,sikkam,Noun,
nama sejenis pohon kayu yang buahnya selalu dipakai untuk peluru mainan anak-anak,singguboh,siggubOh,Noun,
"nama sejenis pohon kayu, batangnya bagus dibuat tiang karena tahan dalam tanah",simarumbalang,simarubbalaG,Noun,
"nama sejenis pohon yang tidak besar, daunnya berwarna merah dan dapat dijadikan obat",silanton,silattOn,Noun,
nama sejenis racun (binatang),sorlup,sOrlup,Noun,
nama sejenis rumput,onong,,,
nama sejenis rumput,ranggas,raGgas,Noun,bahat tumang ranggas i juma nami rumput ranggas banyak di ladang kami
nama sejenis rumput,salohot,salohOt,Noun,"sada hutinta ni halak Simalungun, nini songon anggo diidah lang iboban, ahama ai? aima salohot satu teka-teki orang Simalungun, katanya begini, kalau dilihat tidak di- bawa, tetapi kalau tidak dilihat, dibawa-bawa, apakah itu? Itu- lah salohot"
nama sejenis rumput,sihampir,sihappir,Noun,boan holi sihampir ai ibahen tambar ipon!  bawa nanti sihampir itu untuk obat gigi
nama sejenis rumput,sihiap,sihiyap,Noun,
nama sejenis rumput,sihid,,,
nama sejenis rumput air,sihid,sihid,Noun,
nama sejenis rumput ilalang,palionggang,paliyOGgaG,Noun,
nama sejenis rumput yang,simargalunggung,,,
nama sejenis rumput yang dapat digunakan untuk obat,suawa,suwawa,Noun,
nama sejenis rumput yang daunnya dapat di- jadikan obat,sihorhor,sihOrhOr,Noun,
nama sejenis rumput yang daunnya selalu dibuat untuk obat,simargalunggung,simargalugguG,Noun,
nama sejenis rumput yang pahit dan dapat dijadikan sayur,papaga,papaga,Noun,
nama sejenis tanaman hutan,tambos,tabbOs,Noun,
nama sejenis tanaman yang,tangkul,,,
nama sejenis tebu,sihilang,sihilaG,Noun,sihilang ijual inang hu tiga tebu dijual ibu ke pekan
nama sejenis tikus kecil,hirlang,hirlaG,Noun,
nama sejenis tumbuhan,adoyup,adOyup,Noun,adoyup i  roban bapa bapa menebang kayu adoyup
nama sejenis tumbuhan,indot,indOt,Noun,
nama sejenis tumbuhan di hutan,rimas,rimas,Noun,
nama sejenis tumbuhan labu,tabu,tabu,Noun,
nama sejenis tumbuh-tumbuhan,burtaburta,butta butta,Noun,
nama sejenis tumbuh-tumbuhan,rampasbire,rampasbirE,Noun,
nama sejenis tumbuh-tumbuhan yang bentuk batangnya seperti tali dan berduri,sohit,sohit,Noun,
nama sejenis ular,tobayas,tobayas,Noun,
nama sungai,bahapal,bahapal,Noun,Bahapal goran ni bah na marulu hun Dolok Simbolon Bahapal nama sungai yang hulunya ke Dolok Simbolon
nama tumbuhan,batamagaluni,,,
nama tumbuhan untuk obat,alumalum,alumalum,Noun,dong alum-alum i juma nima? adakah tumbuhan alum-alum di ladang kalian?
nanah,dangi,daGi,Noun,
nanah,nanah,nanah,Noun,bahat nanah ni bayohni bisulnya banyak nanah;
nanah mayat,danei,daney,Noun,jambek danei ai bau nanah mayat itu
nangka,nangka,naGkO,Noun,
nanti,holi,,,
nanti,magira,magira,Adverb,
napas,hosah,hOsah,Noun,
napas kelelahan,hoih,,,
nasehat,ajar,ajar,Noun,tangar ajar ni inang dengar nasihat ibu!;
nasi,indahan,indahan,Noun,"indahan na	maragu		silopak	ampa sigerger nasi putih yang ber- campur nasi merah; marindahan-- kan		lain	yang	bercampur dengan nasi;"
nasi,sidabuhan,sidabuhan,Noun,makanan: rajinma hita marhorja ase ulang  holi hurang sidabuhan! rajin-rajin- lah kita bekerja agar nanti jangan kurang nasi (makanan)
nasi,sulang,,,
nasi lembek,hulba,hulba,Noun,buat indahan na hulba ai! ambil nasi lembek itu!
nasib,lajang,,,
nasib,okang,OkaG,,; 
nasib,rongkap,rOk:ap,Noun,anggo rongkap ni badan aima goran na rotak kalau nasib badan itulah namanya suratan
nasib,sibaran,sibaran,Noun,per- untungan: sononma sibaranni angkula beginilah nasib badan
nasib-nasiban,lajang,lajaG,Verb,untung-untungan
nasihat,lumba,lumba,Noun,; ; ;
nasihat,poda,pOda,Noun,namatoras diri do mambere poda orang tua kita memberi nasehat; 
nasihat,suku,suku,Noun,tangarhon suku ni inang ai! dengarkan nasihat ibu itu!
nasihatkan,palumba,,Noun,
nasihatkan,palumba ,,,
nenas,anas,anas,Noun,gok do anas i huta nami banyak nenas di kampung kami;
nenas,honas,hOnas,Noun,ia mamboli honas natuari i tiga dia membeli nenas semalam di pasar
nenek,tutua,tutuwa,Noun,
neraca; timbangan,dosing,dosiG,Noun,adong do dosing i lopou? adakah timbangan di kedai?
ni pulau,pulou,,,
niat,niat,,,
niat; hajat,niat,niyat,Noun,niat ni uhur niat hati
nibung,libung,libuG,Noun,libung aima samasam palma na marduri nibung adalah sejenis palma yang berduri
nila,itom,itOm,Noun,"halani itom aos nunuk karena nila, rusak susu"
nipah,ipah,ipah,Noun,bahat ipah i harangan banyak nipah di hutan
nira,aduri,,,
nira,nira,nira,Noun,
nira (pohon nyiru besar),aduri,adduri,Noun,
Noun,gukgukan,gukgukkan,Raya,
num jumlah bilangan,buei,buEy,Raya,
nya,ni,,,
"nya; bentuk terikat yang merupakan varian pronomina persona dia dan pronomina benda yang menyatakan milik, pelaku, atau penerima",ni,ni,Pronoun,bagianni bagiannya
nyala,nahit,nahit,Noun,"paima lobei, nahit listrik tunggu sebentar, listrik akan nyala;"
nyala kecil,gara,gara,Raya,pinurunnai mamukkah gara api unggun itu mulai menyala
nyaman,gehkon,gEkkon,Adjective,lang ape sodap hu gehkon ai belum nyaman perasaanku malam ini
nyamuk,rongit,rOGit,Noun,"anggo borngin roh, bahat rongit habang kalau malam tiba banyak nyamuk berterbangan"
nyamuk,siranggang,,,
nyanyian,doding,,,
nyanyian,horleito,,,
nyanyian orang yang mengasuh bayi,horleito,hOrlEytO,Noun,
nyaring,palget,palgEt,Adjective,palget baen alingmu nyaringkan suara kamu!
nyaring,sihil,,,
nyaring,tiur,tiyur,Adjective,hatani tiur pas songon i bagas lubang suaranya nyaring seperti di dalam lubang
nyaring (menggelikan telinga),sihil,sihil,Adjective,"ulang ikiskisi ho buluh in sihil pinggol! jangan kau gesek-gesek bambu itu, geli rasanya telinga!"
nyaring: naring sorani suaranya nyaring,naring,nariG,Adjective,
nyaris,minggip,miGgip,Adverb,ia minggip i langgar motor dia nyaris dilanggar motor
nyaris,ombis,,,
nyaris,singgip,siggip,Adjective,hampir: si Nelli singgip ilanggar motor nattuari i tiga si Nelli nyaris dilanggar motor kemarin di pekan
nyaris (tentang sesuatu yang membahayakan),ombis,Ombis,Adverb,ombis madabuh au hubai hayu aku nyaris jatuh dari pohon
nyata,nata,nata,Adjective,
nyata,panal,,,
nyata,polgei,,,
nyata,tae,,,
nyata;  jelas,panal,panal,Adjective,panal do hu idah rusa ai aku melihat dengan jelas rusa itu
nyata; terang; jelas,polgei,pOlgey,Adjective,polgei sorani tangaron suaranya terdengar jelas
nyenyak,lojei,lOjEy,Adjective,ia modom lojei nantuari dia tidur nyenyak semalam
nyenyak,renges,rEGEs,Adjective, nyenyak;  nyenyak;  nyenyak
nyenyak,sinog,sinOg,Adjective,sinog modom halani loja hu juma nyenyak tidur karena lelah dari ladang
obat,tambar,tabbar,Noun,: laho au martambar saya pergi berobat; -ulang berobat
obat,tambar ,,,
obat,ubat,ubat,Noun,; ; 
obat atau ilmu,pupuk,,,
obat atau ilmu sihir yang dapat mengobati  atau merusak,pupuk,pupu?,Noun,
obat penawar,tabar,tabar,Noun,ia mamboli tabar bani datu ia membeli obat penawar pada dukun
obeng,obeng,ObEG,Noun,pinjam lobei obeng nima pinjam dulu obeng kamu
oleng,peleng,pElEG,Adjective,peleng hu siamun oleng ke kanan
oles,deos,dEOs,Verb,deos otik lipstik in bani bibirmu ase jenges otik
oles,lapu,,,
oles,sosah,sosah,Verb,; 
ombak,umbak,ubbak,Noun,
omel,ringis,riGis,Noun,
omong kosong,hual,huwal,Noun,bual
onggok,Ry,,,
orang,bandaran,,,
orang,halak,halak,Noun,piga halak saud dihut? berapa orang yang ikut?;
orang,huta,,,
orang,impa,,,
orang,lagei,,,
orang,manginsolat,,,
orang,marbajoran,,,
orang,namatoras,,,
orang,ongkoh,,,
orang,otoi,,,
orang,pahengkeng,,,
orang,pajumahon,,,
orang,pamangan,,,
orang,pambalbal,,,
orang,pamongkut,,,
orang,pangagou,,,
orang,panggawang,,Noun,
orang,panggeret,,,
orang,panghasomani,,,
orang,panghirjati,,Noun,
orang,pangindoan,,,
orang,pangojur,,Verb,
orang,panonggor,,,
orang,parbensut,,,
orang,parborgoh,,Verb,
orang,parharoan,,,
orang,parhasang,,,
orang,parhatoban,,,
orang,parhotang,,,
orang,parhuria,,,
orang,parhuta,,,
orang,parmedep,,,
orang,parrodi,,,
orang,parsonduk,,,
orang,partinggil,,,
orang,partua,,,
orang,sipujion,,,
orang,torasan,,,
orang,tua,,,
orang  yang menjadi bandar dalam judi,bandaran,bandaran,Noun,bandaran  maningon bahat duit menjadi bandar harus banyak duit
orang berkedai,parkodei ,,,
orang kerdil,pejel,pEjEl,Adjective,halak na pejel orang kerdil
orang pegunungan,"pardolog 
",,,
orang tua,nai,,,
orang usia uzur dan telah me- miliki cucu dari anak laki-laki dan anak perempuan,sayurmatua,sayurmatuwa,Noun,
orang yang,mot,,,
orang yang,paheng,,,
orang yang bandel,majangal  ,,,
orang yang berbicara,"parhata 
",,,
orang yang dituakan,sintua ,,,
orang yang kikir,parholit ,,,
orang yang melihat ke,paheng,pahEG,Noun,
orang yang membujuk,"pangojur 
",,,
orang yang mengetahui,pambotoh,,,
orang yang menggali,parongkal,,,
orang yang mudah atau gampang lelah tarloja a agak lelah,parloja ,,,
orang yang punya,suhut,,,
orang yang punya pesta,suhut,suhut,Noun,"nini suhut, “haganup ontangan ase ijalo ibagas dear” orang yang punya pesta berkata, “semua undangan agar diterima dengan baik”"
orang yang suka bertengkar,parbada ,,,
orang yang suka kedinginan borgok,parborgoh ,,,
orang yang suka pergi tidak menentu,"menentu 
parlajang ",,,
orang yang tuli,nanengel ,,,
orang yg menyanyi,"pandoding 
",,,
otak,otak,Ota?,Noun,
p ayo; kata seru untuk mengajak atau memberikan dorongan,eta,Eta,Raya,", eta, hu tiga eda kakak, ayo kita pergi ke pasar"
p he; hai,hei,hEi,Raya,"hei, aha do"
p kamu,mu,mu,,in bagian mu
p lah,do,dO,Raya,kah
p maaf-maaf cakap,suali,suwali,,"suali hata, si Butet domma bunting maaf-maaf cakap, si Butet katanya sudah hamil"
p sedangkan,gari,gari,Raya,gari hope lang sanggup apalagi au sedangkan kamu tidak
pacat,isap,isap,Noun,bahat isap i juma banyak pacet di ladang
pacat,pacat,pacat,Noun,
pacul,sorok,sorOk,Noun,cangkul yang lebar: boan sorok ai hu juma! bawa pacul itu  ke ladang!
pada,bai,bai,Particle,
pada,bani,bani,Particle,bani sada panorang pada suatu ketika banitan [banitan] n nama sejenis
pada,banta,,,
pada kita,banta,batta,Noun,adong banta omei lima goni ada padi lima goni pada kita
pada tuan,bamu,bamu,Noun,mamboli au lereng bamu ai aku membeli sepeda pada tuan
padam,iloh,ilOh,Adjective,
padam,intop,intOp,Verb,intop apui halani roh udan api padam karena hujan turun;
padam,miloh,,,
padam,mintop,mintop,Verb,mintop apui ai halani isi ram bani bah padam api itu karena disiram dengan air
padam; mati (tentang api); tidak menyala atau tidak berkobar lagi,miloh,miloh,Verb,domma miloh use lampu ai halani domma bois minak ni lampu itu tadi telah padam karena sudah habis minyaknya;
padamkan,ilohkon ,,,
padamkan,paintop,,,
padamkan,paintop ,,,
padang,halimisan,,,
padang,padang,padaG,Noun,pejalangkon lombu au hu padang aku mengembalakan lembu ke padang
padang,sampalan,,,
padang (penggembalaan),sampalan,sappalan,Noun,"etah hu sampalan mardalani! ayo, jalan-jalan ke padang tempat penggembalaan!"
padang pasir,halimisan,halimisan,Noun,halimisan do hansa naidah ganupan hanya padang pasir yang terlihat semua
padat,gok,gO?,Raya,goni ai seng gok marisi boras goni itu tidak penuh berisi beras;
padat,onjat,Oj:at,Adjective,onjat baen ase siat haganuppan padatkan agar muat semuanya
padatkan: asak omei na irgoni ai padatkan padi di dalam goni itu,asak,asa?,,
padi,eme,Eme,Noun,
padi,omei,Omey,Noun,ibotoh ho do mangotam omei tahukah kamu mengetam padi?;
padi hampa,lambang,,,
padi yang isinya kurang bagus (lapung) dogdog   [dOgdOg]   Ry   v  tarik,dogdog,dOgdOg,Raya,
padi yang kurang bagus,dogdog,,,
padihampa(kosong),lambang,lambaG,Noun,ulang ma  hita songon lambang ai! janganlah kita sebagai padi yang kosong!
paduan warna,barha,,,
paduan warna hitam dan merah tua pada ayam bariang  [bariaG]  n  ikat erat-erat,barha,barha,Noun,
pagar,apil,,,
pagar,bidang,bidaG,Noun,bidang ni bagas pagar rumah
pagar,harad,,,
pagar,hondar,hOndar,Raya,
pagar,hondor,hOndOr,Noun,"juma ni si Ali hondor ni  gogoh ladang si Ali pagarnya kuat; ; manghondorkon	v"
pagar,sihor,,,
pagar yang tidak dapat ditembus peluru dibuat dari ruyung atau kayu-kayu bulat yang disusun untuk benteng (kubu pertahanan),apil,apil,Noun,
pagar; batas,harad,harad,Noun,bahenma haradni juma ai! buatlah pagar ladang itu!
pagi,sogod,sogOd,Noun,
pagut,panggur,,,
pagut; cotok; ,panggur,paGgur,Verb,danak ai ipanggur ulog anak itu dicatok ular
paha,haehae,haEyhaEy,Noun,paes hae-haemu seng mardaging pahamu kurus tidak berdaging
paha,huangkuang,huwakkuwaG,Noun,jenges huangkuangni pahanya bagus
paha,tulan,tulan,Noun,
paham benar-benar,bagas,bagas,Adjective,
pahat,agad,,,
pahat,baji,,,
pahat,pahat,pahat,Noun,buat pahat ai ambil pahat itu
pahat,tuhil,tuhil,Noun,"boban tuhilni ase	martuhang	hita	bawa pahatnya agar kita bertukang; "
pahatan,tuhilon,,,
pahit,paet,paEt,Adjective,bulungni botik paet daini daun pepaya pahit rasanya;  melarat: paet goluh hidup sengsara;
pahit,pogih,pOgih,Adjective,pogit daini bagad on rasa tuak ini pahit sekali
pajak,sohei,sohEy,Noun,satiap taun au manggalar sohei setiap tahun saya membayar pajak; ; 
pak,pak,pa?,Noun,
pakai,pahei,pahey,Verb,ulang pahei baju na kotor in jangan pakai baju kotor itu
pakaian,pakeian,,Noun,
pakaian,pakeian ,,,
pakaian,ruhun,ruhun,Noun,"marbutak ruhun do idahon tampaknya, pakaian itu kotor"
pakau,pakou,,,
pakau (permain- an kartu Cina dengan kartu tiga helai di tangan dan dapat di- tukar-tukarkan seperti main ceki,pakou,pakOw,Noun,permainan tiga helai)
pakis,boniara,,,
pakis,pahu,pahu,Noun,buat pahu ai bahen lowoh ambil pakis itu buat disayur
paksa,holhol,,,
paksa,ojoh,OjOh,Verb,ojoh malah ase laho ai paksa saja biar dia pergi
paksa,paksa,pa?sa,Verb,
paksa (usir); ,holhol,hOlhOl,Verb,anggo seng iholholi i ja ra ia laho kalau tidak dipaksa mana mau dia pergi;
paku,paku,paku,Noun,tuktuk  paku in tokok paku itu;
palang dada,tohang,tohaG,Noun,atap
paling,tundal,tuddal,Verb,berpaling
paling besar tarbanggal a agak besar,sibanggalan ,,,
palu,parpalu,parpalu,Noun,ulang ipalu hayu on kayu itu jangan dipalu;
panah,panah,panah,Noun,
panah,sior,siyor,Noun,
panas,hangar,haGar,Adjective,
panas,hangat,haGat,Adjective,kopi hangat pe lang bahni kopi ini tidak panas airnya
