Indonesia,Simalungun,Pronounciation,Part of Speech,Sentence Examples & Related Forms
anak panah,ipoh,ipOh,Noun,ipoh na marbisa anak panah yang berbisa
anak panah,ipuh,ipuh,Noun,
anak panah,lingkit,likkit,Noun,
anak perempuan,boru,bOru,Raya,boru ai mambahen kueh anak perempuan itu membuat kue; paboru  perempuan;
anak perempuan,"niombah 
daboru 
",,,
anak rambut,bunsiak,bussia?,Noun,bunsiak ni bahat tumang anak rambutnya banyak sekali
anak sungai,tulpang,,,
anak sungai tului [tuluy] v singgah,tulpang,tulpaG,Noun,mampir tuluk [tuluk] n menonjol; sangat
anak tanaman,lata,,,
anak tanaman; bibit,lata,lata,Noun," anak tanaman;  bibit:	bayam nami domma marlata bibit bayam kami sudah mulai tumbuh"
anak tiri,anduh,adduh,Noun,piga anduh na idapothon  ho? berapa anak tiri mu?
anak tumbuhan,upok,,,
anak tumbuhan yang baru tumbuh dari dalam tanah,upok,upOk,Noun,
anak yang lasak,runggas,ruGgas,Noun,si Sormin ai danak na runggas si Sormin itu anak yang lasak
anak yang telah,tilaha,,,
anak yang telah meninggal,tilaha,tilaha,Noun,piga halak tilahamu? berapa  orang anakmu yang telah meninggal?
ancam,gombit,,,
ancam,gurindam,gurindam,Verb,
ancam,omar,,,
ancam,ondam,Ondam,Verb,ondam ase jora ia manangko ancam dia agar jera mencuri
ancam; ,gombit,gOmbit,Verb,ia manggombit torus tapi seng saud ia mengancam terus tetapi tidak jadi
andal,unsagah,ussagah,Adjective,unsagahkonma pambotoh min! andalkanlah kemampuanmu sendiri!
angan-angan,nipi,nipi,Noun,
anggap,anggap,,,
anggapan,anggapan,aGgapan,Noun,"anggapan hu ho na galak, hape bag aku pikir kau orang yang cerewet, ternyata tidak"
anggota,pagori,pagOri,Noun,pagori ni angkula anggota badan; ; ; - kan
anggota,ring,,,
angguk,ondok,OndO?,Verb,ondok tanda ni satuju mengangguk tandanya setuju
anggur,anggur,aGgur,Noun,boli bangku anggur ai belikan aku anggur itu
angin,alogo,alOgO,Noun,
angin,logou,logow,Noun,hawa; udara;
angin,pongit,pOGit,Noun,
angin,poting,,,
angkat,ain,ayn,Verb,ain  karosi ai
angkat,angkat,,,
angkat,ayob,ayOb,Verb,
angkat,bangkit,,,
angkat; ,bangkit,baGkit,Verb,ipabangkit gabe raja diangkat menjadi raja
angkat;  naikkan,angkat,akkat,Verb,"angkat tangan angkat tangan;  bawa: ulang pala maila-ila, angkat ma gela sudahlah jangan malu-malu, angkat saja;"
angkuh,anjang,ajjaG,Adjective,halak na anjang orang yang angkuh
angkuh,mapas,mapas,Adjective,sombong;
angkut,angkut,aGkut,Verb,angkut ma omei ai angkut  dulu padi itu
angsa,angsa,aGsa,Noun,"mamalihara angsa	hanami	kami memelihara angsa"
anjak,ranjak,ranja?,Verb,: sidea manranjak hu topi ni bah mereka beranjak ke tepi sungai
anjing,anjing,anjiG,Noun,anjing manggan holi-holi anjing makan tulang-tulang
anjing,asu,,,
anjing,baliang,baliang,Noun, anjing mencari binatang buruan
anjing,muha,muha,Noun,muha nami baggal anjing kami besar
anjur,tajuk,tajuk,Verb,
anjur,tingkal,tikkal,Verb,": maningkal kopala lorong in paborsih	dalan	dohot	bah kepala lingkungan menganjur- kan untuk membersihkan jalan dan sungai"
antah,botah,bOtah,Noun,
